GAME_ID,GAME_DATE,TEAM_ABBREVIATION,MATCHUP,PTS,WL
0022400455,2025-01-01,DET,DET vs. ORL,105,W
0022400455,2025-01-01,ORL,ORL @ DET,96,L
0022400456,2025-01-01,CHI,CHI @ WAS,107,L
0022400456,2025-01-01,WAS,WAS vs. CHI,125,W
0022400457,2025-01-01,MIA,MIA vs. NOP,119,W
0022400457,2025-01-01,NOP,NOP @ MIA,108,L
0022400458,2025-01-01,NYK,NYK vs. UTA,119,W
0022400458,2025-01-01,UTA,UTA @ NYK,103,L
0022400459,2025-01-01,BKN,BKN @ TOR,113,L
0022400459,2025-01-01,TOR,TOR vs. BKN,130,W
0022400460,2025-01-01,DAL,DAL @ HOU,99,L
0022400460,2025-01-01,HOU,HOU vs. DAL,110,W
0022400461,2025-01-01,ATL,ATL @ DEN,120,L
0022400461,2025-01-01,DEN,DEN vs. ATL,139,W
0022400462,2025-01-01,PHI,PHI @ SAC,107,L
0022400462,2025-01-01,SAC,SAC vs. PHI,113,W
0022400463,2025-01-02,IND,IND @ MIA,128,W
0022400463,2025-01-02,MIA,MIA vs. IND,115,L
0022400464,2025-01-02,BOS,BOS @ MIN,118,W
0022400464,2025-01-02,MIN,MIN vs. BOS,115,L
0022400465,2025-01-02,BKN,BKN @ MIL,113,W
0022400465,2025-01-02,MIL,MIL vs. BKN,110,L
0022400466,2025-01-02,LAC,LAC @ OKC,98,L
0022400466,2025-01-02,OKC,OKC vs. LAC,116,W
0022400467,2025-01-02,GSW,GSW vs. PHI,139,W
0022400467,2025-01-02,PHI,PHI @ GSW,105,L
0022400468,2025-01-02,LAL,LAL vs. POR,114,W
0022400468,2025-01-02,POR,POR @ LAL,106,L
0022400469,2025-01-03,CHA,CHA @ DET,94,L
0022400469,2025-01-03,DET,DET vs. CHA,98,W
0022400470,2025-01-03,ORL,ORL @ TOR,106,W
0022400470,2025-01-03,TOR,TOR vs. ORL,97,L
0022400471,2025-01-03,BOS,BOS @ HOU,109,W
0022400471,2025-01-03,HOU,HOU vs. BOS,86,L
0022400472,2025-01-03,NOP,NOP vs. WAS,132,W
0022400472,2025-01-03,WAS,WAS @ NOP,120,L
0022400473,2025-01-03,NYK,NYK @ OKC,107,L
0022400473,2025-01-03,OKC,OKC vs. NYK,117,W
0022400474,2025-01-03,CLE,CLE @ DAL,134,W
0022400474,2025-01-03,DAL,DAL vs. CLE,122,L
0022400475,2025-01-03,DEN,DEN vs. SAS,110,L
0022400475,2025-01-03,SAS,SAS @ DEN,113,W
0022400476,2025-01-03,MEM,MEM @ SAC,133,L
0022400476,2025-01-03,SAC,SAC vs. MEM,138,W
0022400477,2025-01-03,ATL,ATL @ LAL,102,L
0022400477,2025-01-03,LAL,LAL vs. ATL,119,W
0022400478,2025-01-04,BKN,BKN vs. PHI,94,L
0022400478,2025-01-04,PHI,PHI @ BKN,123,W
0022400479,2025-01-04,DET,DET vs. MIN,119,W
0022400479,2025-01-04,MIN,MIN @ DET,105,L
0022400480,2025-01-04,IND,IND vs. PHX,126,W
0022400480,2025-01-04,PHX,PHX @ IND,108,L
0022400481,2025-01-04,MIA,MIA vs. UTA,100,L
0022400481,2025-01-04,UTA,UTA @ MIA,136,W
0022400482,2025-01-04,CHI,CHI vs. NYK,139,W
0022400482,2025-01-04,NYK,NYK @ CHI,126,L
0022400483,2025-01-04,MIL,MIL vs. POR,102,L
0022400483,2025-01-04,POR,POR @ MIL,105,W
0022400484,2025-01-04,DEN,DEN @ SAS,122,W
0022400484,2025-01-04,SAS,SAS vs. DEN,111,L
0022400485,2025-01-04,GSW,GSW vs. MEM,121,W
0022400485,2025-01-04,MEM,MEM @ GSW,113,L
0022400486,2025-01-04,ATL,ATL @ LAC,105,L
0022400486,2025-01-04,LAC,LAC vs. ATL,131,W
0022400487,2025-01-05,BOS,BOS @ OKC,92,L
0022400487,2025-01-05,OKC,OKC vs. BOS,105,W
0022400488,2025-01-05,CHA,CHA @ CLE,105,L
0022400488,2025-01-05,CLE,CLE vs. CHA,115,W
0022400489,2025-01-05,NOP,NOP @ WAS,110,W
0022400489,2025-01-05,WAS,WAS vs. NOP,98,L
0022400490,2025-01-05,ORL,ORL vs. UTA,92,L
0022400490,2025-01-05,UTA,UTA @ ORL,105,W
0022400491,2025-01-05,HOU,HOU vs. LAL,119,W
0022400491,2025-01-05,LAL,LAL @ HOU,115,L
0022400492,2025-01-05,GSW,GSW vs. SAC,99,L
0022400492,2025-01-05,SAC,SAC @ GSW,129,W
0022400493,2025-01-06,DET,DET vs. POR,118,W
0022400493,2025-01-06,POR,POR @ DET,115,L
0022400494,2025-01-06,PHI,PHI vs. PHX,99,L
0022400494,2025-01-06,PHX,PHX @ PHI,109,W
0022400495,2025-01-06,BKN,BKN vs. IND,99,L
0022400495,2025-01-06,IND,IND @ BKN,113,W
0022400496,2025-01-06,NYK,NYK vs. ORL,94,L
0022400496,2025-01-06,ORL,ORL @ NYK,103,W
0022400497,2025-01-06,MIL,MIL @ TOR,128,W
0022400497,2025-01-06,TOR,TOR vs. MIL,104,L
0022400498,2025-01-06,CHI,CHI vs. SAS,114,W
0022400498,2025-01-06,SAS,SAS @ CHI,110,L
0022400499,2025-01-06,DAL,DAL @ MEM,104,L
0022400499,2025-01-06,MEM,MEM vs. DAL,119,W
0022400500,2025-01-06,LAC,LAC @ MIN,106,L
0022400500,2025-01-06,MIN,MIN vs. LAC,108,W
0022400501,2025-01-06,MIA,MIA @ SAC,118,L
0022400501,2025-01-06,SAC,SAC vs. MIA,123,W
0022400502,2025-01-07,CHA,CHA vs. PHX,115,W
0022400502,2025-01-07,PHX,PHX @ CHA,104,L
